instance_id,step,human_redundant,judge_redundant,type
pvlib__pvlib-python-1854,4,True,False,FN
pvlib__pvlib-python-1854,11,True,False,FN
pvlib__pvlib-python-1854,13,True,False,FN
pvlib__pvlib-python-1854,16,True,False,FN
pvlib__pvlib-python-1854,19,True,False,FN
pvlib__pvlib-python-1854,25,True,False,FN
pvlib__pvlib-python-1854,31,True,False,FN
pvlib__pvlib-python-1854,36,True,False,FN
pvlib__pvlib-python-1072,13,True,False,FN
pvlib__pvlib-python-1072,17,True,False,FN
pvlib__pvlib-python-1072,29,True,False,FN
pvlib__pvlib-python-1072,30,True,False,FN
pvlib__pvlib-python-1154,11,True,False,FN
pvlib__pvlib-python-1154,17,True,False,FN
pvlib__pvlib-python-1154,20,True,False,FN
pvlib__pvlib-python-1154,22,True,False,FN
pvlib__pvlib-python-1154,23,True,False,FN
pvlib__pvlib-python-1154,25,True,False,FN
pvlib__pvlib-python-1154,40,False,True,FP
pydicom__pydicom-1139,4,True,False,FN
pydicom__pydicom-1139,5,True,False,FN
pydicom__pydicom-1139,7,True,False,FN
pydicom__pydicom-1139,9,True,False,FN
pydicom__pydicom-1139,12,True,False,FN
pydicom__pydicom-1139,13,True,False,FN
pydicom__pydicom-1139,16,True,False,FN
pydicom__pydicom-1139,18,True,False,FN
pydicom__pydicom-1139,20,True,False,FN
pydicom__pydicom-1139,25,True,False,FN
pydicom__pydicom-1139,27,True,False,FN
